,ekstra.Poprzedni.klub,c.rep.....555..
383,Zaglebie Sosnowiec,polska
384,Slask Wroclaw II,polska
385,Slask Wroclaw II,polska
386,Slask Wroclaw II,polska
387,CD Tenerife,hiszpańska
388,Chrobry Glogow,polska
389,Piast Gliwice,polska
390,Zaglebie Lubin II,polska
391,Slask Wroclaw II,polska
392,Slask Wroclaw II,polska
393,Aarhus GF,holenderska
394,Rakow Czestochowa,polska
395,Manchester United U23,angielska
396,Odra Opole,polska
397,Piast Gliwice,polska
398,CD Castellón,hiszpańska
399,Willem II Tilburg,holenderska
400,Hertha BSC,niemiecka
401,Slask Wroclaw II,polska
402,Slask Wroclaw II,polska
403,Slask Wroclaw U19,polska
404,FC Bayern Munich II,niemiecka
405,Milan Primavera,włoska
406,Las Palmas Atlético,hiszpańska
407,Cádiz CF,hiszpańska
408,Jagiellonia Bialystok,polska
409,Slask Wroclaw II,polska
410,Polonia Sroda Wielkopolska,polska
411,Pogon Szczecin,polska
412,Warta Poznan U19,polska
413,Warta Poznan U19,polska
414,Reggina 1914,włoska
415,FC Honka,fińska
416,Without Club,bez klubu
417,Puszcza Niepolomice,polska
418,Miedz Legnica,polska
419,Jarota Jarocin,polska
420,Pogon Szczecin,polska
421,Bruk-Bet Termalica Nieciecza,polska
422,Arka Gdynia,polska
423,Polonia Sroda Wielkopolska,polska
424,Wigry Suwalki II,polska
425,LKS Lodz,polska
426,Legia Warsaw II,polska
427,Jarota Jarocin,polska
428,Rakow Czestochowa,polska
429,Warta Poznan Youth,polska
430,IFK Mariehamn,fińska
431,Lechia Gdansk,polska
432,Bytovia Bytow,polska
433,Trabzonspor,turecka
434,1.FC Nuremberg,niemiecka
435,Warta Poznan U19,polska
436,Lech Poznan,polska
437,Legia Warszawa,polska
438,Stal Mielec II,polska
439,Zaglebie Lubin,polska
440,Sandecja Nowy Sacz,polska
441,Górnik Zabrze,polska
442,Arka Gdynia,polska
443,FK Riteriai,litewska
444,Gornik Leczna,polska
445,Bruk-Bet Termalica Nieciecza,polska
446,Wisla Plock,polska
447,Bruk-Bet Termalica Nieciecza,polska
448,Stal Mielec II,polska
449,Stal Mielec II,polska
450,Stal Mielec II,polska
451,LKS Lodz,polska
452,Arka Gdynia,polska
453,Stal Mielec II,polska
454,Stal Stalowa Wola,polska
455,Rakow Czestochowa,polska
456,Piast Gliwice,polska
457,Legia Warszawa,polska
458,DFK Dainava Alytus,litewska
459,Chrobry Glogow,polska
460,Stal Mielec II,polska
461,Radomiak Radom U19,polska
462,Radomiak Radom II,polska
463,Legia Warsaw II,polska
464,Liverpool FC U21,angielska
465,Swit Nowy Dwor Mazowiecki,polska
466,Académica Coimbra,portugalska
467,FC Sion,szwajcarska
468,Zaglebie Sosnowiec,polska
469,Wisla Kraków,polska
470,MKS Polonia Warsaw U19,polska
471,Górnik Zabrze,polska
472,Znicz Pruszkow,polska
473,Vorskla Poltava,ukraińska
474,FC Porto B,portugalska
475,MKE Ankaragücü,turecka
476,Zaglebie Sosnowiec,polska
477,Without Club,bez klubu
478,Without Club,bez klubu
479,Radomiak Radom U19,polska
480,Radomiak Radom U19,polska
481,FC Winterthur,szwajcarska
482,Without Club,bez klubu
483,NorthEast United FC,indyjska
484,Pogon Siedlce ,polska
485,Fortuna Sittard,holenderska
486,Zawisza Rzgow,polska
487,Cracovia,polska
488,Garbarnia Krakow,polska
489,Bron Radom,polska
490,Pogon Grodzisk Mazowiecki,polska
491,Miedz Legnica II,polska
492,Miedz Legnica II,polska
493,Miedz Legnica II,polska
494,TSV Eintracht Stadtallendorf,niemiecka
495,GKS Belchatow,polska
496,Miedz Legnica U19,polska
497,Volos NPS,grecka
498,FC Hermannstadt,rumuńska
499,Las Rozas CF,hiszpańska
500,Miedz Legnica II,polska
501,Siarka Tarnobrzeg,polska
502,Pogon Szczecin,polska
503,Stomil Olsztyn,polska
504,Olympiacos Piraeus,grecka
505,CD Mirandés,hiszpańska
506,RasenBallsport Leipzig U19,niemiecka
507,Miedz Legnica II,polska
508,CF América,meksykańska
509,Wisla Kraków,polska
