"","Gracz","Pozycja","Urodziny","Wiek","Pierwsza narodowość","Druga narodowość","Wzrost","Lepsza noga","Data dołączenia","Poprzedni klub","Data wygaśnięcia kontraktu","Wartość rynkowa","Liga"
"217","Antoni Mikulko","Goalkeeper","Feb 11, 2005","17","Poland",NA,189," ","Jan 29, 2021","Lechia Gdansk U19","Jun 30, 2025","€25k","Ekstraklasa"
"218","Michal Nalepa","Centre-Back","Jan 22, 1993","29","Poland",NA,189,"right","Jul 1, 2017",": Ablöse free transfer","Jun 30, 2026","€900k","Ekstraklasa"
"219","Kristers Tobers","Centre-Back","Dec 13, 2000","22","Latvia",NA,189,"right","Aug 1, 2020","FK Liepaja","Jun 30, 2023","€400k","Ekstraklasa"
"220","Henrik Castegren","Centre-Back","Mar 28, 1996","26","Sweden",NA,186," ","Feb 18, 2022","IFK Norrköping","Jun 30, 2024","€300k","Ekstraklasa"
"221","Joel Abu Hanna","Centre-Back","Jan 22, 1998","24","Israel","Germany",184,"left","Aug 27, 2022","Legia Warszawa","Jun 30, 2023","€300k","Ekstraklasa"
"222","Mario Maloca","Centre-Back","May 4, 1989","33","Croatia",NA,190,"right","Jul 1, 2019","SpVgg Greuther Fürth","Jun 30, 2023","€250k","Ekstraklasa"
"223","Conrado","Left-Back","Apr 3, 1997","25","Brazil","Italy",173,"left","Jan 9, 2020","Figueirense Futebol Clube","Jun 30, 2024","€700k","Ekstraklasa"
"224","Rafal Pietrzak","Left-Back","Jan 30, 1992","30","Poland",NA,176,"both","Feb 20, 2020","Royal Excel Mouscron (-2022)","Jun 30, 2023","€350k","Ekstraklasa"
"225","Jakub Bartkowski","Right-Back","Nov 7, 1991","31","Poland",NA,182,"right","Jan 2, 2023","Pogon Szczecin","-","€600k","Ekstraklasa"
"226","David Stec","Right-Back","May 10, 1994","28","Austria",NA,178,"right","Jan 8, 2022","TSV Hartberg","Jun 30, 2024","€400k","Ekstraklasa"
"227","Filip Koperski","Right-Back","Feb 24, 2004","18","Poland",NA,187,"right","Jan 28, 2021","Lechia Gdansk II","Jun 30, 2026","€300k","Ekstraklasa"
"228","Bartosz Brzek","Right-Back","Dec 1, 2005","17","Poland",NA,179,"right","Jul 6, 2022","Lechia Gdansk II","Jun 30, 2025","€25k","Ekstraklasa"
"229","Jan Bieganski","Defensive Midfield","Dec 4, 2002","20","Poland",NA,183,"left","Jan 1, 2021","GKS Tychy","Jun 30, 2025","€500k","Ekstraklasa"
"230","Joeri de Kamps","Defensive Midfield","Feb 10, 1992","30","Netherlands",NA,176,"left","Aug 30, 2022","Slovan Bratislava","Jun 30, 2024","€350k","Ekstraklasa"
"231","Jaroslaw Kubicki","Central Midfield","Aug 7, 1995","27","Poland",NA,180,"right","Jul 1, 2018","Zaglebie Lubin","Jun 30, 2023","€700k","Ekstraklasa"
"232","Jakub Kaluzinski","Attacking Midfield","Oct 31, 2002","20","Poland",NA,184,"both","Feb 5, 2020","Lechia Gdansk U19","Jun 30, 2023","€800k","Ekstraklasa"
"233","Maciej Gajos","Attacking Midfield","Mar 19, 1991","31","Poland",NA,174,"right","Jul 1, 2019","Lech Poznan","Jun 30, 2024","€600k","Ekstraklasa"
"234","Marco Terrazzino","Attacking Midfield","Apr 15, 1991","31","Germany","Italy",177,"right","Aug 10, 2021","SC Paderborn 07","Jun 30, 2023","€250k","Ekstraklasa"
"235","Ilkay Durmus","Left Winger","May 1, 1994","28","Turkey","Germany",180,"left","Jul 1, 2021","St. Mirren FC","Jun 30, 2023","€400k","Ekstraklasa"
"236","Dominik Pila","Left Winger","May 6, 2001","21","Poland",NA,185,"right","Jul 1, 2022","Chrobry Glogow","Jun 30, 2025","€250k","Ekstraklasa"
"237","Christian Clemens","Right Winger","Aug 4, 1991","31","Germany",NA,179,"right","Feb 3, 2022","Without Club","Jun 30, 2023","€250k","Ekstraklasa"
"238","Lukasz Zwolinski","Centre-Forward","Feb 24, 1993","29","Poland",NA,184,"right","Feb 10, 2020","HNK Gorica","Jun 30, 2023","€800k","Ekstraklasa"
"239","Kacper Sezonienko","Centre-Forward","Mar 23, 2003","19","Poland",NA,193,"right","May 27, 2020","Lechia Gdansk II","Jun 30, 2025","€700k","Ekstraklasa"
"240","Bassekou Diabaté","Centre-Forward","Apr 15, 2000","22","Mali",NA,184,"both","Jan 1, 2022","Yeelen Olympique","Jun 30, 2025","€250k","Ekstraklasa"
"241","Flávio Paixão","Centre-Forward","Sep 19, 1984","38","Portugal",NA,184,"right","Feb 8, 2016","Slask Wroclaw","Jun 30, 2023","€200k","Ekstraklasa"
"242","Krystian Okoniewski","Centre-Forward","Jan 24, 2005","17","Poland",NA,187," ","Jul 6, 2022","Lechia Gdansk II","Jun 30, 2023","€25k","Ekstraklasa"
"243","Henrich Ravas","Goalkeeper","Aug 16, 1997","25","Slovakia",NA,195,"right","Mar 29, 2022","FK Senica","Jun 30, 2023","€1.20m","Ekstraklasa"
"244","Jakub Wrabel","Goalkeeper","Jun 8, 1996","26","Poland",NA,196,"left","Jul 1, 2021","Wisla Plock","Jun 30, 2023","€300k","Ekstraklasa"
"245","Vasyl Lytvynenko","Goalkeeper","Oct 3, 1991","31","Ukraine",NA,192,"right","Apr 5, 2022","FK Obolon Kyiv","Jun 30, 2023","€50k","Ekstraklasa"
"246","Patryk Stepinski","Centre-Back","Jan 16, 1995","27","Poland",NA,178,"right","Sep 1, 2020","Warta Poznan","Jun 30, 2024","€750k","Ekstraklasa"
"247","Mateusz Zyro","Centre-Back","Oct 28, 1998","24","Poland",NA,188,"right","Jul 1, 2022","Stal Mielec","Jun 30, 2024","€650k","Ekstraklasa"
"248","Martin Kreuzriegler","Centre-Back","Jan 10, 1994","29","Austria",NA,182,"left","Jan 25, 2022","Sandefjord Fotball","Jun 30, 2023","€500k","Ekstraklasa"
"249","Serafin Szota","Centre-Back","Mar 4, 1999","23","Poland",NA,187,"right","Jul 1, 2022","Wisla Kraków","Jun 30, 2024","€400k","Ekstraklasa"
"250","Bozhidar Chorbadzhiyski","Centre-Back","Aug 8, 1995","27","Bulgaria",NA,195,"both","Jul 1, 2022","Stal Mielec","Jun 30, 2024","€200k","Ekstraklasa"
"251","Adam Debinski","Centre-Back","Jul 7, 2004","18","Poland",NA,182,"left","Jul 6, 2022","Widzew Lodz II","-","€25k","Ekstraklasa"
"252","Dominik Kun","Defensive Midfield","Jun 22, 1993","29","Poland",NA,171,"right","Aug 14, 2020","Sandecja Nowy Sacz","Jun 30, 2024","€650k","Ekstraklasa"
"253","Marek Hanousek","Defensive Midfield","Aug 6, 1991","31","Czech Republic",NA,186,"right","Feb 24, 2021","MFK Karvina","Jun 30, 2024","€500k","Ekstraklasa"
"254","Patryk Lipski","Defensive Midfield","Jun 12, 1994","28","Poland",NA,186,"right","Mar 3, 2022","Piast Gliwice","Jun 30, 2023","€400k","Ekstraklasa"
"255","Juljan Shehu","Defensive Midfield","Sep 6, 1998","24","Albania",NA,183,"right","Jul 1, 2022","KF Laçi","Jun 30, 2024","€250k","Ekstraklasa"
"256","Filip Zawadzki","Central Midfield","Jul 1, 2004","18","Poland",NA,176,"both","Jul 1, 2022","Widzew Lodz II","Jun 30, 2023","€25k","Ekstraklasa"
"257","Ignacy Dawid","Central Midfield","Jan 15, 2003","19","Poland",NA,169," ","Sep 7, 2022","Widzew Lodz II","Jun 30, 2024","€25k","Ekstraklasa"
"258","Pawel Zielinski","Right Midfield","Jul 17, 1990","32","Poland",NA,175,"right","Jul 1, 2021","Miedz Legnica","Jun 30, 2023","€200k","Ekstraklasa"
"259","Andrejs Ciganiks","Left Midfield","Apr 12, 1997","25","Latvia",NA,173,"both","Jan 2, 2023","DAC Dunajska Streda","Jun 30, 2024","€550k","Ekstraklasa"
"260","Fábio Nunes","Left Midfield","Jul 24, 1992","30","Portugal",NA,180,"left","Jul 28, 2021","SC Farense","Jun 30, 2025","€500k","Ekstraklasa"
"261","Mato Milos","Left Midfield","Jun 30, 1993","29","Croatia",NA,175,"right","Aug 27, 2022","NK Osijek","Jun 30, 2024","€400k","Ekstraklasa"
"262","Bartlomiej Pawlowski","Attacking Midfield","Nov 13, 1992","30","Poland",NA,178,"right","Feb 1, 2022","Slask Wroclaw","Jun 30, 2023","€650k","Ekstraklasa"
"263","Juliusz Letniowski","Attacking Midfield","Apr 8, 1998","24","Poland",NA,183,"both","Jul 1, 2022","Lech Poznan","Jun 30, 2024","€500k","Ekstraklasa"
"264","Ernest Terpilowski","Attacking Midfield","Sep 14, 2001","21","Poland",NA,176,"both","Feb 25, 2022","Bruk-Bet Termalica Nieciecza","Jun 30, 2024","€500k","Ekstraklasa"
"265","Kristoffer Hansen","Attacking Midfield","Aug 12, 1994","28","Norway",NA,180,"right","Jan 21, 2022","Sandefjord Fotball","Jun 30, 2023","€300k","Ekstraklasa"
"266","Jakub Sypek","Attacking Midfield","Apr 7, 2001","21","Poland",NA,180," ","Jul 12, 2022","Zaglebie Lubin","Jun 30, 2025","€150k","Ekstraklasa"
"267","Jordi Sánchez","Centre-Forward","Nov 11, 1994","28","Spain",NA,190,"right","Jul 2, 2022","Albacete Balompié","Jun 30, 2024","€700k","Ekstraklasa"
"268","Lukasz Zjawinski","Centre-Forward","Jul 11, 2001","21","Poland",NA,193,"right","Aug 17, 2022","Lechia Gdansk","Jun 30, 2023","€350k","Ekstraklasa"
"269","Mateusz Kempski","Centre-Forward","Mar 21, 2003","19","Poland",NA,192,"both","Sep 29, 2022","Widzew Lodz II","Jun 30, 2024","€25k","Ekstraklasa"
"270","Zlatan Alomerovic","Goalkeeper","Jun 15, 1991","31","Serbia","Germany",187,"right","Jan 1, 2022","Lechia Gdansk","Jun 30, 2024","€350k","Ekstraklasa"
"271","Bartlomiej Zynel","Goalkeeper","Apr 9, 1998","24","Poland",NA,187,"left","Aug 4, 2022","Jagiellonia Bialystok II","Jun 30, 2023","€25k","Ekstraklasa"
"272","Slawomir Abramowicz","Goalkeeper","Jun 9, 2004","18","Poland",NA,189,"left","Aug 23, 2021","Polonia Warsaw","Jun 30, 2024","€25k","Ekstraklasa"
"273","Milosz Piekutowski","Goalkeeper","May 8, 2006","16","Poland",NA,188,"both","Jul 15, 2022","Jagiellonia Bialystok U19","-","€25k","Ekstraklasa"
"274","Bojan Nastic","Centre-Back","Jul 6, 1994","28","Bosnia-Herzegovina","Serbia",182,"left","Jan 27, 2021","BATE Borisov","Jun 30, 2024","€550k","Ekstraklasa"
"275","Israel Puerto","Centre-Back","Jun 15, 1993","29","Spain",NA,187,"right","Jul 1, 2021","Slask Wroclaw","Jun 30, 2023","€400k","Ekstraklasa"
"276","Milosz Matysik","Centre-Back","Apr 26, 2004","18","Poland",NA,190," ","Jan 1, 2021","Jagiellonia Bialystok II","Jun 30, 2024","€400k","Ekstraklasa"
"277","Mateusz Skrzypczak","Centre-Back","Aug 22, 2000","22","Poland",NA,186,"right","Jul 1, 2022","Lech Poznan","Jun 30, 2024","€200k","Ekstraklasa"
"278","Michal Pazdan","Centre-Back","Sep 21, 1987","35","Poland",NA,181,"both","Jul 3, 2021","MKE Ankaragücü","Jun 30, 2023","€150k","Ekstraklasa"
"279","Godfrey Bitok Stephen","Centre-Back","Aug 22, 2000","22","Nigeria",NA,185,"left","Feb 4, 2021","Isloch Minsk Region","Dec 31, 2024","€50k","Ekstraklasa"
"280","Michal Ozga","Centre-Back","Jun 23, 2000","22","Poland",NA,182,"right","Jul 9, 2018","Jagiellonia Bialystok U19","Jun 30, 2023","€25k","Ekstraklasa"
"281","Patryk Czerech","Centre-Back","Apr 6, 2001","21","Poland",NA,190,"left","Apr 15, 2022","Jagiellonia Bialystok II","-","€25k","Ekstraklasa"
"282","Nené","Defensive Midfield","Jun 10, 1995","27","Portugal",NA,187,"left","Jul 1, 2022","CD Santa Clara","Jun 30, 2024","€1.00m","Ekstraklasa"
"283","Taras Romanczuk","Defensive Midfield","Nov 14, 1991","31","Poland",NA,186,"left","Jul 22, 2014","Legionovia Legionowo","Jun 30, 2024","€600k","Ekstraklasa"
"284","Martin Pospisil","Defensive Midfield","Jun 26, 1991","31","Czech Republic",NA,178,"right","Jul 4, 2017","FK Jablonec","Jun 30, 2024","€350k","Ekstraklasa"
"285","Oliwier Wojciechowski","Defensive Midfield","Apr 5, 2005","17","Poland",NA,172," ","Jul 1, 2022","Jagiellonia Bialystok II","Jun 30, 2024","€300k","Ekstraklasa"
"286","Bartosz Bernatowicz","Defensive Midfield","Feb 14, 2005","17","Poland",NA,183,"right","Jul 15, 2022","Jagiellonia Bialystok II","-","€25k","Ekstraklasa"
"287","Tomas Prikryl","Right Midfield","Jul 4, 1992","30","Czech Republic",NA,177,"right","Jul 3, 2019","FK Mlada Boleslav","Jun 30, 2023","€600k","Ekstraklasa"
"288","Tomasz Kupisz","Right Midfield","Jan 2, 1990","33","Poland",NA,180,"right","Sep 2, 2022","Pordenone Calcio","Jun 30, 2024","€200k","Ekstraklasa"
"289","Kacper Tabis","Right Midfield","Jan 31, 2000","22","Poland",NA,175,"right","Jul 1, 2021","Odra Opole","Jun 30, 2025","€200k","Ekstraklasa"
"290","Pawel Olszewski","Right Midfield","Jun 7, 1999","23","Poland",NA,178,"right","Jan 1, 2016","Jagiellonia Bialystok U19","Jun 30, 2024","€100k","Ekstraklasa"
"291","Jakub Lewicki","Left Midfield","Sep 17, 2005","17","Poland",NA,182,"both","Jul 15, 2022","Jagiellonia Bialystok II","Jun 30, 2025","€500k","Ekstraklasa"
"292","Bartlomiej Wdowik","Left Midfield","Sep 25, 2000","22","Poland",NA,184,"left","Jan 22, 2020","Odra Opole","Jun 30, 2023","€250k","Ekstraklasa"
"293","Damian Wojdakowski","Left Midfield","Jun 24, 2005","17","Poland",NA,181,"right","Sep 30, 2022","Jagiellonia Bialystok U19","Dec 31, 2024","-","Ekstraklasa"
"294","Jesús Imaz","Attacking Midfield","Sep 26, 1990","32","Spain",NA,174,"right","Jan 21, 2019","Wisla Kraków","Jun 30, 2025","€1.00m","Ekstraklasa"
"295","Juan Cámara","Attacking Midfield","Feb 13, 1994","28","Spain",NA,184,"left","Jul 1, 2019","Miedz Legnica","Jun 30, 2023","€200k","Ekstraklasa"
"296","Wojciech Laski","Attacking Midfield","May 21, 2000","22","Poland",NA,186," ","Jul 1, 2022","GKS Jastrzebie","Jun 30, 2024","€200k","Ekstraklasa"
"297","Marc Gual","Centre-Forward","Mar 13, 1996","26","Spain",NA,186,"right","Mar 23, 2022","SK Dnipro-1","Jun 30, 2023","€1.20m","Ekstraklasa"
"298","Bartosz Bida","Centre-Forward","Feb 21, 2001","21","Poland",NA,175,"both","Aug 2, 2017","Jagiellonia Bialystok U19","Jun 30, 2023","€400k","Ekstraklasa"
"299","Mateusz Kowalski","Centre-Forward","Jul 21, 2005","17","Poland",NA,195,"right","May 18, 2022","Jagiellonia Bialystok U19","Jun 30, 2025","€300k","Ekstraklasa"
"300","Maciej Bortniczuk","Centre-Forward","Sep 6, 2001","21","Poland",NA,181," ","Aug 11, 2020","Jagiellonia Bialystok U19","Jun 30, 2024","€150k","Ekstraklasa"
