"","Gracz","Pozycja","Urodziny","Wiek","Pierwsza narodowość","Druga narodowość","Wzrost","Lepsza noga","Data dołączenia","Poprzedni klub","Data wygaśnięcia kontraktu","Wartość rynkowa","Liga"
"190","Jakub Czerwinski","Centre-Back","Aug 6, 1991","31","Poland",NA,183,"both","Jul 1, 2018","Legia Warszawa","Jun 30, 2024","€400k","Ekstraklasa"
"191","Constantin Reiner","Centre-Back","Jul 11, 1997","25","Austria",NA,197,"right","Jan 17, 2022","SV Ried","Jun 30, 2025","€400k","Ekstraklasa"
"192","Miguel Muñoz","Centre-Back","Nov 22, 1996","26","Spain",NA,182,"right","Jul 1, 2021","Real Murcia CF","Jun 30, 2023","€100k","Ekstraklasa"
"193","Wojciech Kaminski","Centre-Back","Jan 21, 2001","21","Poland",NA,186,"right","Jul 1, 2019","Piast Gliwice II","Jun 30, 2023","€100k","Ekstraklasa"
"194","Alexandros Katranis","Left-Back","May 4, 1998","24","Greece",NA,174,"left","Sep 1, 2021",": Ablöse free transfer","Jun 30, 2024","€400k","Ekstraklasa"
"195","Jakub Holubek","Left-Back","Jan 12, 1991","31","Slovakia",NA,180,"left","Jul 1, 2019",": Ablöse free transfer","Jun 30, 2024","€200k","Ekstraklasa"
"196","Tomasz Mokwa","Right-Back","Feb 10, 1993","29","Poland",NA,181,"right","Aug 8, 2018","GKS Katowice","Jun 30, 2023","€100k","Ekstraklasa"
"197","Piotr Liszewski","Right-Back","Dec 18, 2004","18","Poland",NA,184," ","Oct 7, 2022","Piast Gliwice II","Jun 30, 2025","€25k","Ekstraklasa"
"198","Patryk Dziczek","Defensive Midfield","Mar 25, 1998","24","Poland",NA,182,"right","Aug 31, 2022","SS Lazio","Jun 30, 2025","€500k","Ekstraklasa"
"199","Tom Hateley","Defensive Midfield","Sep 12, 1989","33","UK",NA,181,"right","Oct 11, 2021","Without Club","Jun 30, 2023","€250k","Ekstraklasa"
"200","Grzegorz Tomasiewicz","Central Midfield","May 5, 1996","26","Poland",NA,169,"both","Jul 1, 2022","Stal Mielec","Jun 30, 2024","€600k","Ekstraklasa"
"201","Michal Chrapek","Central Midfield","Apr 3, 1992","30","Poland",NA,175,"right","Oct 10, 2020","Without Club","Jun 30, 2023","€500k","Ekstraklasa"
"202","Michal Kaput","Central Midfield","Feb 18, 1998","24","Poland",NA,185,"both","Jan 5, 2022","Radomiak Radom","Jun 30, 2025","€300k","Ekstraklasa"
"203","Bartosz Luczak","Central Midfield","Mar 19, 2003","19","Poland",NA,182," ","Apr 15, 2022","Piast Gliwice II","Jun 30, 2023","€25k","Ekstraklasa"
"204","Jakub Niedbala","Central Midfield","Feb 11, 2004","18","Poland",NA,181,"both","Apr 15, 2022","Piast Gliwice II","Jun 30, 2024","€25k","Ekstraklasa"
"205","Tihomir Kostadinov","Attacking Midfield","Mar 4, 1996","26","North Macedonia",NA,179,"right","Jan 1, 2022","MFK Ruzomberok","Jun 30, 2025","€350k","Ekstraklasa"
"206","Oskar Lesniak","Attacking Midfield","Oct 7, 2004","18","Poland",NA,176," ","Jul 1, 2022","Stadion Slaski Chorzow","Jun 30, 2025","€25k","Ekstraklasa"
"207","Michael Ameyaw","Left Winger","Sep 16, 2000","22","Poland","Ghana",176,"right","Jul 1, 2021","Widzew Lodz","Jun 30, 2024","€350k","Ekstraklasa"
"208","Damian Kadzior","Right Winger","Jun 16, 1992","30","Poland",NA,174,"left","Jul 19, 2021","SD Eibar","Jun 30, 2025","€1.20m","Ekstraklasa"
"209","Arkadiusz Pyrka","Right Winger","Sep 20, 2002","20","Poland",NA,177," ","Aug 4, 2020","Znicz Pruszkow","Jun 30, 2024","€800k","Ekstraklasa"
"210","Jorge Félix","Second Striker","Aug 22, 1991","31","Spain",NA,175,"right","Aug 2, 2022","Sivasspor","Jun 30, 2024","€350k","Ekstraklasa"
"211","Kamil Wilczek","Centre-Forward","Jan 14, 1988","34","Poland",NA,185,"left","Jan 31, 2022","FC Copenhagen","Jun 30, 2024","€400k","Ekstraklasa"
"212","Rauno Sappinen","Centre-Forward","Jan 23, 1996","26","Estonia",NA,177,"right","Jan 1, 2022","FC Flora Tallinn","Jun 30, 2025","€300k","Ekstraklasa"
"213","Alberto Toril","Centre-Forward","Jun 1, 1997","25","Spain",NA,187,"right","Jul 1, 2021","Real Murcia CF","Jun 30, 2024","€200k","Ekstraklasa"
"214","Gabriel Kirejczyk","Centre-Forward","Feb 12, 2003","19","Poland",NA,197," ","Jul 20, 2021","AP Profi","Jun 30, 2023","€100k","Ekstraklasa"
"215","Dusan Kuciak","Goalkeeper","May 21, 1985","37","Slovakia",NA,194,"right","Feb 3, 2017",": Ablöse free transfer","Jun 30, 2024","€100k","Ekstraklasa"
"216","Michal Buchalik","Goalkeeper","Feb 3, 1989","33","Poland",NA,190,"right","Jan 1, 2022","Wisla Kraków","Jun 30, 2023","€75k","Ekstraklasa"
